num_authors,num_maintainers,num_roles,has_organization,has_license,yanked,has_sdist,has_sig,num_dependencies,has_requires_python,num_releases,days_since_first_release,days_since_last_release,dev_status_level,description_length,num_classifiers,num_project_urls,has_homepage,num_wheel_dists,total_dist_size_kb,package,version,label
1,0,2,1,1,0,1,0,5,1,77,7039,364,3,1461,13,3,1,1,553,mako,1.2.0,1
0,0,3,1,1,0,1,0,44,1,331,1904,0,3,7138,8,1,1,1,4477,dirac,7.3.0a17,1
1,0,2,0,1,0,1,0,0,0,141,5782,309,2,3940,12,2,1,0,121,mezzanine,0.2.1,1
1,0,1,0,1,0,1,0,24,1,423,901,7,0,11255,0,0,0,1,247,upsonic,0.40.0,1
1,0,1,0,1,0,1,0,0,0,30,2965,38,2,10130,12,1,1,19,80910,exiv2,0.12.1,1
1,0,1,0,1,0,1,0,4,0,6,2737,461,2,5966,4,1,1,1,496,openvpn-monitor,1.1.2,1
1,0,1,0,1,0,1,0,0,0,802,4563,0,3,1413,14,1,1,1,898,netius,1.16.30,1
1,0,0,1,0,0,0,0,33,1,140,2881,135,0,3880,2,4,1,1,94310,hail,0.2.89,1
1,1,2,0,1,0,1,0,54,1,293,1122,8,0,6972,4,3,1,1,12,langflow,1.0.0a19,1
1,1,2,1,1,0,1,0,15,1,144,1585,703,3,27632,16,3,1,1,326,starlite,1.29.0,1
1,0,5,1,1,0,1,0,0,0,345,3453,17,0,0,7,1,1,0,278,localstack,0.2.10,1
1,0,1,0,1,0,1,0,0,0,38,4323,3540,3,598,9,2,1,0,10,jw.util,1.5.3,1
1,0,1,0,1,0,1,0,0,0,1238,3716,1038,0,0,0,1,1,1,20592,sickrage,9.2.22,1
1,0,1,0,1,0,1,0,0,0,755,4871,10,3,3544,15,2,1,0,11205,tendenci,5.1.254,1
1,0,1,0,1,0,1,0,0,0,48,4529,89,3,1237,9,2,1,1,65,websockets,3.0,1
1,0,1,0,0,0,1,0,0,0,36,2162,17,0,22747,3,1,1,0,269,whoogle-search,0.5.0,1
1,1,5,0,0,0,1,0,0,0,76,7688,270,3,14026,29,2,1,0,3789,roundup,2.3.0,1
1,0,3,0,0,0,1,0,44,1,623,7272,31,3,2657,9,2,1,1,3734,setuptools,65.0.0,1
1,0,1,1,1,0,1,0,0,0,153,4474,2,0,1648,19,1,1,5,1027,cryptography,0.3,1
1,0,2,0,1,0,1,0,92,1,179,3382,1,3,2771,10,1,1,1,79270,pretix,4.5.0,1
1,0,4,0,1,0,1,0,0,0,52,4652,778,1,4663,8,2,1,0,175,future,0.3.3,1
0,0,3,0,0,0,1,0,27,1,310,2170,15,0,4857,0,1,1,1,258,vantage6-server,4.0.0a3,1
1,0,1,0,1,0,1,0,0,0,169,6286,92,2,2927,8,2,1,0,165,pymongo,0.9.4,1
1,0,2,0,1,0,1,0,19,0,411,5262,18,2,3518,13,1,1,4,9177,pymatgen,2017.11.6,1
1,0,5,0,1,0,1,0,379,1,218,3522,0,3,115420,11,1,1,1,16401,transformers,4.40.1,1
1,0,2,0,1,0,1,0,27,0,577,2759,37,0,2620,3,2,1,1,135,mindsdb,1.0.2,1
1,0,5,0,1,0,1,0,0,0,559,3187,699,0,9,0,1,1,0,389,indy-node,1.9.0rc1,1
1,0,2,0,1,0,1,0,0,0,67,4771,180,0,105,0,2,1,0,680,uwsgi,1.9.17.1,1
1,0,1,0,1,0,0,0,43,0,120,4362,8,0,8600,0,1,1,1,355,mistral,2.0.0.0rc1,1
1,0,1,0,1,0,1,0,44,0,291,4290,29,3,48360,13,1,1,1,18693,mayan-edms,3.1.2,1
1,0,1,0,1,0,1,0,0,0,802,4563,0,3,1459,12,1,1,1,429,netius,1.5.41,1
1,0,1,1,1,0,1,0,0,1,153,4473,1,3,2538,21,1,1,18,33439,cryptography,3.0,1
1,0,3,1,1,0,1,0,0,0,83,6251,2246,0,23112,0,2,1,0,18071,zope2,2.12.1,1
1,0,1,0,1,0,1,0,0,1,230,2201,14,0,2369,0,1,1,0,501,chia-blockchain,1.0rc6,1
1,0,2,0,1,0,1,0,0,1,577,2759,37,0,14702,2,2,1,0,5822,mindsdb,24.6.2.2,1
0,0,1,0,1,0,1,0,20,1,486,1262,6,0,3613,5,2,1,1,246,langchain,0.0.56,1
1,0,1,0,0,0,1,0,42,1,288,2679,8,2,20647,25,2,1,1,6748,fastapi,0.76.0,1
1,0,2,0,1,0,1,0,0,1,577,2759,37,0,4160,3,2,1,0,58,mindsdb,1.6.15,1
1,0,1,0,1,0,1,0,0,0,11,4404,1606,0,188,5,1,1,0,79,suds-py3,1.4.1.0,1
1,0,10,0,1,0,1,0,0,0,420,4805,2,3,5133,17,1,1,0,13796,ansible,2.9.0rc5,1
1,0,1,0,1,0,1,0,0,0,802,4563,0,1,7,12,2,1,0,206,netius,1.0.0,1
1,0,3,0,1,0,1,0,20,1,1565,3875,6,2,1730,7,6,1,1,13714,homeassistant,0.115.0b6,1
1,1,2,0,1,0,1,0,17,1,84,3223,1133,0,2196,2,1,1,1,895,sockeye,1.18.78,1
1,1,3,0,1,0,1,0,7,0,36,2632,1012,1,3135,6,1,1,1,68,lin-cms,0.4.4,1
1,0,1,0,1,0,1,0,0,0,755,4871,10,3,3237,15,2,1,0,15607,tendenci,5.1.275,1
1,0,1,0,1,1,1,0,0,1,185,1943,1,2,16396,5,1,1,0,108,zenml,0.2.0rc1,1
1,0,4,0,1,0,1,0,0,0,52,4652,778,2,2895,9,2,1,0,265,future,0.10.1,1
1,0,3,0,1,0,1,0,0,0,28,3950,3,0,412,5,2,1,0,49,jwcrypto,0.2.0,1
0,0,5,0,1,0,1,0,0,0,37,4377,565,2,2343,5,1,1,0,495,postorius,1.2.3,1
2,0,1,0,1,0,1,0,0,0,20,4458,630,2,301,15,2,1,0,672,cherrymusic,0.30.0,1
1,0,2,0,1,0,0,0,23,0,262,2942,9,0,187,0,1,1,1,5406,streamlit,0.12.3,1
1,0,4,0,1,0,1,0,0,0,9,5461,1916,3,2017,8,2,1,0,15,kerberos,1.2.5,1
1,0,1,0,1,0,1,0,1,0,142,1588,138,0,0,0,1,1,1,28,ekuiper,1.8.2,1
1,0,5,1,1,0,1,0,0,1,209,3215,17,3,6524,25,1,1,0,75,dash,1.20.0,1
1,0,5,0,1,0,1,0,0,0,559,3187,699,0,9,0,1,1,0,350,indy-node,0.0.21,1
1,0,8,0,1,0,1,0,20,0,233,4089,22,0,1102,0,1,1,1,911,dask,0.14.0,1
1,0,2,0,1,0,1,0,24,1,382,4531,0,3,6686,11,1,1,1,9355,flask-appbuilder,4.3.0rc1,1
1,1,3,0,1,0,1,0,67,1,360,3999,450,2,14309,9,3,1,1,1234,rasa,2.3.1,1
1,0,2,0,1,0,1,0,619,1,577,2758,36,0,6058,2,2,1,1,12778,mindsdb,25.9.3rc1,1
1,0,6,0,1,0,1,0,16,0,658,2606,7,0,0,0,1,1,1,1326,gradio,2.8.12,1
1,0,2,0,1,0,1,0,0,0,23,4529,1212,2,3076,15,2,1,1,48,django-user-sessions,1.0.0-beta1,1
1,0,1,0,1,0,1,0,0,0,802,4563,0,1,7,7,2,1,0,100,netius,0.4.0,1
1,0,1,0,1,0,1,0,62,1,1238,3716,1038,0,0,0,1,1,1,27867,sickrage,9.4.192.dev3,1
1,0,1,0,1,0,1,0,0,0,237,4682,9,2,11340,1,1,1,0,6593,geonode,2.7.5.dev20180123130714,1
1,0,5,0,1,0,1,0,0,0,559,3187,699,0,9,0,1,1,0,350,indy-node,0.0.20,1
1,0,8,1,1,0,1,0,42,1,155,2812,231,3,2627,13,5,1,1,1031,jupyter-server,2.3.0,1
1,0,4,0,1,0,1,0,0,0,109,5962,0,3,197,12,2,1,0,1228,scrapy,0.7,1
1,2,3,0,0,0,1,0,9,1,107,5963,92,0,4357,17,4,0,1,391,urllib3,2.0.2,1
1,0,0,1,1,1,1,0,72,1,86,2860,35,3,5134,11,1,1,1,4586,red-discordbot,3.3.2,1
1,0,1,0,1,0,1,0,2,0,370,2272,17,1,9798,18,1,1,1,914,copyparty,0.9.6,1
1,0,7,0,0,0,1,0,40,1,78,1534,29,3,9736,13,2,1,1,559,nebari,2023.11.1,1
1,0,1,0,1,0,1,0,2,0,150,5643,248,3,423,15,1,1,1,1336,paramiko,2.0.3,1
1,0,3,1,1,0,1,0,34,0,286,4443,36,3,316,16,1,1,1,18277,wagtail,2.9.1,1
0,0,1,0,1,0,0,0,34,1,194,1697,5,0,2747,26,1,1,1,625,changedetection-io,0.45.2,1
1,0,5,1,1,0,1,0,0,0,345,3453,17,0,0,11,1,1,0,304,localstack,0.12.5,1
1,1,2,0,1,0,1,0,5,1,95,6107,0,2,5171,15,1,1,19,54072,gevent,1.3b1,1
1,0,2,0,1,0,1,0,21,1,262,2942,9,3,5973,17,7,1,1,15504,streamlit,1.32.0,1
1,0,1,1,1,0,1,0,0,0,72,5216,43,3,1941,13,3,1,1,290,certifi,2020.12.5,1
1,0,2,0,1,0,1,0,0,0,143,4667,2948,0,7,0,2,1,0,1731,ajenti,1.2.21.10,1
0,0,1,0,1,0,1,0,21,0,101,3927,203,0,25100,8,1,1,1,213,ironic-inspector,2.2.0,1
7,0,6,0,0,0,1,0,24,1,658,2606,7,0,12969,0,1,1,1,28520,gradio,3.18.1b7,1
1,0,2,1,1,0,1,0,0,0,110,3910,12,0,69,15,2,1,0,56,mycli,1.8.0,1
1,0,2,0,1,0,1,0,0,0,257,5440,45,0,0,0,1,1,0,11141,salt,2017.7.1,1
1,0,1,0,1,0,1,0,0,0,143,3945,62,0,3436,9,1,1,0,18,python-engineio,1.2.0,1
0,0,2,0,1,0,1,0,12,0,500,1148,6,0,3800,0,1,1,1,785,llama-index,0.6.23,1
1,0,1,0,1,0,1,0,0,0,37,3915,20,0,2229,5,1,1,0,349,sqlite-web,0.1.6,1
1,0,1,1,0,0,1,0,5,1,31,1429,295,2,270,4,1,1,1,881,case-utils,0.8.0,1
1,0,1,0,0,0,1,0,91,0,136,2740,8,0,2400,10,1,1,1,16444,nova,17.0.11,1
1,0,1,0,1,0,1,0,11,1,292,2678,34,0,3074,10,1,1,1,375,piccolo,0.45.1,1
1,0,1,0,1,0,1,0,0,0,755,4871,10,3,2334,15,2,1,0,17164,tendenci,7.2.9,1
11,0,2,0,1,0,1,0,0,0,411,5262,18,2,7626,9,2,1,0,2858,pymatgen,2.9.10,1
1,0,10,1,1,0,1,0,0,0,89,6392,1485,0,90342,1,2,1,0,420,products-atcontenttypes,2.2.4,1
1,0,2,0,1,0,1,0,35,0,28,3317,2941,0,6077,0,1,1,1,8884,cabot,0.8.5,1
1,1,2,1,1,0,1,0,11,1,144,1585,703,3,19364,15,3,1,1,195,starlite,1.9.1,1
1,0,1,0,1,0,1,0,0,0,237,4682,9,2,6296,1,2,1,0,1811,geonode,2.0b22,1
1,0,3,0,1,0,1,0,0,0,158,5352,115,3,757,23,2,1,0,139,autobahn,0.10.2,1
1,0,2,0,1,0,1,0,0,0,101,4018,1557,0,7,0,2,1,1,76,thefuck,1.46,1
1,0,3,0,1,0,1,0,0,0,40,5396,192,3,546,17,2,1,10,2256,pyyaml,5.3,1
1,0,3,0,1,0,1,0,0,0,124,1995,10,0,15872,3,1,1,0,333,deepspeed,0.3.14,1
1,0,2,0,1,0,1,0,0,0,114,2369,147,3,94,17,2,1,6,9713,pyboolector,3.0.0.1,1
1,0,4,0,1,0,1,0,8,1,67,5512,48,2,20861,16,1,1,1,68,django-ses,2.3.0,1
1,0,2,0,1,0,1,0,98,1,202,3487,1,3,3332,10,1,1,1,3992,azure-cli,2.28.0,1
1,0,2,0,1,0,1,0,17,1,1069,2596,1,3,3659,10,3,1,1,183,strawberry-graphql,0.81.1.dev1663258661,1
1,0,1,0,1,0,1,0,0,0,85,5586,133,1,7,7,2,1,0,1030,django-grappelli,2.3,1
1,0,2,0,1,0,1,0,0,0,96,5720,650,2,106,6,2,1,0,99,openpyxl,1.1.6,1
1,0,3,0,1,0,1,0,21,1,1565,3875,6,2,1714,8,6,1,1,18396,homeassistant,2021.6.2,1
0,0,2,0,0,0,1,0,0,0,73,3164,1032,0,139,1,1,1,0,68,horovod,0.10.2,1
1,0,1,0,0,0,1,0,16,0,116,2131,23,3,14143,9,1,1,1,460,lti-consumer-xblock,7.1.0,1
1,0,2,0,1,0,1,0,0,0,97,5940,14,2,5338,14,2,1,0,223,gunicorn,0.14.4,1
1,0,0,1,1,0,1,0,5,1,429,5805,1,3,1902,18,5,1,1,16035,django,3.0.11,1
1,0,2,0,1,0,0,0,5,1,87,2429,9,0,2640,10,4,1,4,22162,wasmtime,0.26.0,1
1,0,3,0,1,0,1,0,0,0,124,1995,10,0,33998,5,3,1,0,1154,deepspeed,0.12.1,1
1,0,1,0,1,0,0,0,17,1,154,3471,0,3,27288,10,1,1,1,4872,rdiffweb,2.5.6,1
1,1,2,1,1,0,1,0,10,1,144,1584,702,3,17303,15,3,1,1,166,starlite,1.7.0,1
1,0,3,0,1,0,1,0,0,0,623,7272,31,3,8172,10,2,1,0,4245,setuptools,0.6c11,1
1,0,1,0,0,0,1,0,48,0,176,2997,8,0,613,10,1,1,1,13281,neutron,12.0.3,1
1,0,1,0,1,0,1,0,0,0,89,4254,109,1,4687,11,2,1,0,492,asyncssh,1.3.0,1
1,0,0,1,1,0,1,0,1281,1,282,3257,2,3,28486,12,8,1,1,9490,apache-airflow,2.3.1rc1,1
1,0,1,0,1,0,1,0,24,1,423,901,7,0,12603,0,0,0,1,244,upsonic,0.39.0,1
